### 三原学案
   吕楠 | 文简吕泾野先生楠
   张节 | 张石谷先生节
   李挺 | 李正立先生挺
   郭蒙泉 | 郡守郭蒙泉
   举应诏 | 举人杨天游先生应诏
   王恕 | 端毅王石渠先生恕
   王承裕 | 康僖王平川先生承裕
   马理 | 光禄马溪田先生理
   韩邦奇 | 恭简韩苑洛先生邦奇
   杨爵 | 忠介杨斛山先生爵
   王之士 | 徵君王秦关先生之士
### 东林学案
   章潢 | 徵君章本清先生潢
   冯应京 | 佥事冯慕冈先生应京
   罗汝芳 | 罗汝芳
   姚汝循 | 姚汝循字叙卿，号凤麓
   殷迈 | 殷迈字时训，号秋溟
   唐鹤徵 | 太常唐凝菴先生鹤徵
   顾宪成 | 端文顾泾阳先生宪成
   孙慎行 | 文介孙淇澳先生慎行
   钱一本 | 御史钱启新先生一本
   高攀龙 | 忠宪高景逸先生攀龙
   顾允成 | 主事顾泾凡先生允成
   叶茂才 | 侍郎叶园适先生茂才
   刘元珍 | 光禄刘本孺先生元珍
   耿橘 | 耿庭怀先生橘
   许世卿 | 孝廉许静馀先生世卿
   黄尊素 | 忠端黄白安先生尊素
   宗锺峦 | 宗伯吴霞舟先生锺峦
### 北方王门学案
   穆孔晖 | 文简穆玄菴先生孔晖
   张后觉 | 教谕张弘山先生后觉
   尤时熙 | 主事尤西川先生时熙
   孟化鲤 | 文选孟云浦先生化鲤
### 南中王门学案
   贡安国 | 贡安国字元略，号受轩
   戚贤 | 戚贤字秀夫，号南玄
   查铎 | 查铎字子警，号毅斋
   程默 | 程默字子木
   姜宝 | 姜宝字廷善，
   黄省曾 | 孝廉黄五岳先生省曾
   周冲 | 长史周静菴先生冲
   朱得之 | 明经朱近斋先生得之
   周怡 | 恭节周讷溪先生怡
   薛应旗 | 提学薛方山先生应旗
   薛甲 | 副使薛畏斋先生甲
   襄顺之 | 襄文唐荆川先生顺之
   徐阶 | 文贞徐存斋先生阶
   杨豫孙 | 中丞杨幼殷先生豫孙
### 崇仁学案
   胡居仁 | 文敬胡敬斋先生居仁
   聘与弼 | 聘君吴康斋先生与弼
   郑伉 | 郑孔明先生伉
   娄谅 | 教谕娄一斋先生谅
   魏校 | 魏校字子才
   馀佑 | 侍郎馀訒斋先生佑
### 楚中王门学案
   沈宠 | 沈宠字思畏，号古林
   萧彦号念渠 | 萧彦号念渠
   戚衮 | 戚衮字补之，号竹坡
   萧良干 | 萧良干字以宁
   张棨 | 张棨字士仪，号本静
   章时鸾号孟泉， | 章时鸾号孟泉，
   程大宾 | 程大宾字汝见
   郑烛 | 郑烛字景明，
   蒋信 | 佥宪蒋道林先生信
   冀元亨 | 孝廉冀暗斋先生元亨
   尚秋 | 尚宝孟我疆先生秋
   杨东明 | 侍郎杨晋菴先生东明
   南大吉 | 郡守南瑞泉先生大吉
### 止修学案
   邓元锡 | 徵君邓潜谷先生元锡
   宋仪望 | 中丞宋望之先生仪望
   李材 | 中丞李见罗先生材
### 江右派
   欧阳德 | 文庄欧阳南野先生德
   邹守益 | 文庄邹东廓先生守益
   聂豹 | 贞襄聂双江先生豹
   罗洪先 | 文恭罗念菴先生洪先
